"1","E-Commerce Geschäftsmodelle","Strategien und Strukturen von Geschäftsmodellen im E-Commerce, inklusive Erlösmodelle und Auswirkungen gesellschaftlicher Entwicklungen.","2025-08-21T09:34:17.006Z"
"2","Strategien für internationale Märkte","Entwicklung von E-Commerce-Strategien unter Berücksichtigung wirtschaftlicher, rechtlicher und gesellschaftlicher Aspekte auf internationalen Märkten.","2025-08-21T09:40:21.516Z"
"3","E-Commerce Marketingstrategien","Entwicklung und Analyse von Marketingstrategien für den E-Commerce, inklusive Marktsegmentierung und rechtlichen Aspekten.","2025-08-21T09:48:09.465Z"
"4","Operative Planung im E-Commerce","Fokus auf strategische Entwicklung, Planungsprinzipien und Analyse zur Sicherung der Wettbewerbsfähigkeit im E-Commerce.","2025-08-21T11:09:14.698Z"
"5","Unternehmensstrategie im E-Commerce","Fokussiert auf strategische Planung und E-Commerce-Systementscheidungen, einschließlich Unternehmensziele, Strategieanalyse und rechtliche Aspekte.","2025-08-21T11:21:48.165Z"
"6","Anforderungsmanagement im E-Commerce","Übersicht und Prozesse im Anforderungsmanagement, fokussiert auf E-Commerce. Ziel ist die effiziente Entwicklung und Kontrolle von E-Commerce-Prozessen.","2025-08-21T11:29:28.728Z"
"7","Controlling im E-Commerce","Umfassende Zusammenfassung der Controlling-Kurse zur Prozessgestaltung und -optimierung im E-Commerce für Fachwirte.","2025-08-21T11:48:14.239Z"
"8","Online-Marketing im E-Commerce","Eine umfassende Zusammenfassung der Prinzipien und Prozesse des Online-Marketings, fokussiert auf den E-Commerce-Bereich und Prüfungsrelevanz.","2025-08-21T12:11:42.007Z"
"9","Prozessmanagement im E-Commerce","Analyse und Gestaltung von Prozessen im E-Commerce unter Berücksichtigung rechtlicher und wirtschaftlicher Anforderungen.","2025-08-21T12:59:05.880Z"
"10","Vertragsanbahnung und -abschluss im E-Commerce","Rechtliche Anforderungen, Kaufprozess, Nutzerverhalten und After-Sales-Management im E-Commerce für Fachwirte.","2025-08-21T13:23:01.747Z"
"11","Analysesysteme im E-Commerce","Analyse und Optimierung von Prozessen im E-Commerce durch digitale Infrastruktur und Analysesysteme.","2025-08-21T18:56:55.949Z"
"12","Digitale Infrastruktur im E-Commerce","Analyse und Optimierung der digitalen Infrastruktur zur Steigerung der Effizienz und Wettbewerbsfähigkeit im E-Commerce.","2025-08-22T06:50:32.595Z"
